,rank,hs_location,recruit_year,state,region,draft_pick,draft_year,drafted
D.J. Williams,1," De La Salle (Concord, CA)  ",2000,CA,West,17.0,2004.0,1
Brock Berlin,2," Evangel Christian Academy (Shreveport, LA)  ",2000,LA,Southeast,,,0
Charles Rogers,3," Saginaw (Saginaw, MI)  ",2000,MI,Midwest,2.0,2003.0,1
Travis Johnson,4," Notre Dame (Sherman Oaks, CA)  ",2000,CA,West,16.0,2005.0,1
Marcus Houston,5," Thomas Jefferson (Denver, CO)  ",2000,CO,West,,,0
Kwame Harris,6," Newark (Newark, DE)  ",2000,DE,East,26.0,2003.0,1
B.J. Johnson,7," South Grand Prairie (Grand Prairie, TX)  ",2000,TX,Southwest,,,0
Bryant McFadden,8," McArthur (Hollywood, FL)  ",2000,FL,Southeast,62.0,2005.0,1
Sam Maldonado,9," Harrison (Harrison, NY)  ",2000,NY,East,,,0
Mike Munoz,10," Archbishop Moeller (Cincinnati, OH)  ",2000,OH,Midwest,,,0
Willis McGahee,11," Miami Central (Miami, FL)  ",2000,FL,Southeast,23.0,2003.0,1
Antonio Hall,12," McKinley (Canton, OH)  ",2000,OH,Midwest,,,0
Darrell Lee,13," Kirkwood (Saint Louis, MO)  ",2000,MO,Southeast,,,0
O.J. Owens,14," North Stanly (New London, NC)  ",2000,NC,East,,,0
Jeff Smoker,15," Manheim Central (Manheim, PA)  ",2000,PA,Midwest,201.0,2004.0,1
Marco Cooper,16," Cass Technical (Detroit, MI)  ",2000,MI,Midwest,,,0
Chance Mock,17," The Woodlands (The Woodlands, TX)  ",2000,TX,Southwest,,,0
Nautyn McKay-Loescher,18," Toronto (Toronto, OH)  ",2000,OH,Midwest,,,0
Roy Williams,19," Permian (Odessa, TX)  ",2000,TX,Southwest,7.0,2004.0,1
Matt Grootegoed,20," Mater Dei (Santa Ana, CA)  ",2000,CA,West,,,0
Yohance Buchanan,21," Douglass (Atlanta, GA)  ",2000,GA,Southeast,,,0
Mac Tyler,22," Jess Lanier (Hueytown, AL)  ",2000,AL,Southeast,,,0
Jason Respert,23," Northside (Warner Robins, GA)  ",2000,GA,Southeast,,,0
Casey Clausen,24," Bishop Alemany (Mission Hills, CA)  ",2000,CA,West,,,0
Albert Means,25," Trezevant (Memphis, TN)  ",2000,TN,Southeast,,,0
Albert Hollis,26," Christian Brothers (Sacramento, CA)  ",2000,CA,West,,,0
Willie Dixon,27," Stockton Christian School (Stockton, CA)  ",2000,CA,West,,,0
Eric Moore,28," Pahokee (Pahokee, FL)  ",2000,FL,Southeast,186.0,2005.0,1
Cory Bailey,29," American (Hialeah, FL)  ",2000,FL,Southeast,,,0
Sean Young,30," Northwest Whitfield County (Tunnel Hill, GA)  ",2000,GA,Southeast,,,0
Johnnie Morant,31," Parsippany Hills (Morris Plains, NJ)  ",2000,NJ,East,134.0,2004.0,1
Wes Sims,32," Weatherford Hs (Weatherford, OK)  ",2000,OK,Southwest,177.0,2005.0,1
Tyson Thompson,33," Bell (Irving, TX)  ",2000,TX,Southwest,,,0
Jason Campbell,34," Taylorsville (Taylorsville, MS)  ",2000,MS,Southeast,25.0,2005.0,1
Antwan Odom,35," Alma Bryant (Irvington, AL)  ",2000,AL,Southeast,57.0,2004.0,1
Sloan Thomas,36," Klein (Spring, TX)  ",2000,TX,Southwest,211.0,2004.0,1
Alphonso Townsend,37," Lima Central Catholic (Lima, OH)  ",2000,OH,Midwest,,,0
Raymond Mann,38," Hampton (Hampton, VA)  ",2000,VA,East,,,0
Greg Jones,39," Battery Creek (Beaufort, SC)  ",2000,SC,Southeast,55.0,2004.0,1
Chris Septak,40," Millard West (Omaha, NE)  ",2000,NE,Midwest,,,0
